Course Name,Course Code,Course Description,Distribution Requirements,Breadth Requirements,Prerequisites,Corequisites,Hours
Experimental Methods in French Linguistics,FRE483H1,"This course is designed to provide students with the skills and knowledge required to carry out language-related research with human subjects. The course introduces students to research design and ethics, common experimental methodologies in linguistics research, and data analysis. The course includes a practical component that will provide students with the opportunity to design and carry out a corpus study or web-based linguistics experiment. Throughout the course, students will also be encouraged to reflect on how language research can contribute to broader domains in society, including education and health.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: FRE383H1 or with permission of instructor,N/A,Hours: 36L
Special Topics in French Linguistics,FRE486H1,"An advanced course on a particular topic in the use, acquisition, history or synchronic analysis of French. Please see the French Department website https://www.french.utoronto.ca/undergraduate for the description of the particular course in a given year",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: Will vary depending upon year. Consult department website.,N/A,Hours: 12T/24S
Advanced Topics in Bilingualism and L2 acquisition,FRE487H1,"This course examines how adult learners acquire various aspects of French language (vocabulary, syntax and/or phonology). It also provides in-depth, practical training in methodological design and quantitative analysis culminating in students’ undertaking of individual experimental studies.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: FRE376H1 +  FRE378H1 +  FRE383H1 +  FRE388H1/ JFG388H1,N/A,Hours: 12T/24S
Special Topics in Advanced Linguistics I,FRE488H1,"An advanced seminar on a specific aspect of French linguistics. For more information, see https://www.french.utoronto.ca/undergraduate.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: Varies according to particular course offering; consult the French Studies Undergraduate brochure (www.french.utoronto.ca/undergraduate) for exact prerequisites.,N/A,Hours: 12T/24S
Special Topics in Advanced Linguistics II,FRE489H1,"An advanced seminar on a specific aspect of French linguistics. For more information, see https://www.french.utoronto.ca/undergraduate.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: Varies according to particular course offering; consult the French Studies Undergraduate brochure (www.french.utoronto.ca/undergraduate) for exact prerequisites,N/A,Hours: 12T/24S
Senior Essay,FRE490Y1,"A research project on a linguistic, literary, or second language learning topic to be proposed by the student and supervised by a Faculty member, culminating in a major research paper. Not eligible for CR/NCR option. For information on the application process and deadlines, please visit our website.",Distribution Requirements: Humanities,N/A,Prerequisite: Any 300+ FRE Linguistics/Literature/Second Language Learning course. Permission of Department.,N/A,N/A
Independent Study,FRE491H1,"A research project on a linguistic, literary, or second language learning topic to be proposed by the student and supervised by a Faculty member on a topic of common interest, including readings, discussions, papers. Not eligible for CR/NCR option. For information on the application process and deadlines, please visit our website.",Distribution Requirements: Humanities,N/A,Prerequisite: Any 300+ FRE Linguistics/Literature/Second Language Learning course. Permission of Department.,N/A,N/A
Independent Study,FRE492H1,"A research project on a linguistic, literary, or second language learning topic to be proposed by the student and supervised by a Faculty member on a topic of common interest, including readings, discussions, papers. Not eligible for CR/NCR option. For information on the application process and deadlines, please visit our website.",Distribution Requirements: Humanities,N/A,Prerequisite: Any 300+ FRE Linguistics/Literature/Second Language Learning course. Permission of Department.,N/A,N/A
Elementary French I,FSL100H1,"An intensive basic course in spoken and written French for students who have no knowledge of French: comprehension, speaking, reading, and writing.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24L/12T
Elementary French II,FSL102H1,"An intensive basic course in spoken and written French for students who have studied some French, but who have not yet attained the entry level for  FSL120H1.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: FSL100H1. Students may also fulfill this prerequisite requirement based on the results of their French Placement Test.,N/A,Hours: 24L/12T
Elementary French III,FSL120H1,This is the first of a two-course series intended for students having some knowledge of French but wishing to increase their proficiency to that of normal University entrance. Offers training in written and spoken French; reinforcement of reading comprehension and aural abilities; and an introduction to French-Canadian and Québécois cultures.,Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: FSL102H1. Students may also fulfill this prerequisite requirement based on the results of their French Placement Test.,N/A,Hours: 24L/24T
Elementary French IV,FSL122H1,This is the second of a two-course series intended for students having some knowledge of French but wishing to increase their proficiency to that of normal University entrance. Offers training in written and spoken French; reinforcement of reading comprehension and aural abilities; and an introduction to French-Canadian and Québécois cultures.,Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: FSL120H1. Students may also fulfill this prerequisite requirement based on the results of their French Placement Test.,N/A,Hours: 24L/24T
French Language in Tours I,FSL195Y0,"Intended for students having some knowledge of French but wishing to increase their proficiency to that of normal University entrance through complete immersion in French language and culture in Tours, France. Offers training in written and spoken French; reinforcement of reading comprehension and aural abilities; and an introduction to French culture of the Touraine region. Specific course content will depend on language placement according to the Institut de Touraine. Students must write the in-person Faculty of Arts & Science (St. George) Department of French placement test upon their return to Toronto to determine their appropriate next level. (This course is offered only during the Summer Session through the Summer Abroad Program. Details related to the timetable and deadlines are posted on the Summer Abroad website at https://summerabroad.utoronto.ca/.)",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: Placement as determined by the Institut de Touraine Placement Test. Details related to the timetable and deadlines are posted on the Summer Abroad website at https://summerabroad.utoronto.ca/.,N/A,Hours: 48L/48T
